stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\40161070\Documents\GitHub\Cps\coursework 2\code\NBody\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.05277] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05278] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05280] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05281] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05282] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05283] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05286] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05287] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05288] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05291] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05293] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05295] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05296] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05297] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05298] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05300] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05301] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05302] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05303] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05305] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05306] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05307] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05308] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05310] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05311] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05313] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05314] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05316] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05317] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05319] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05320] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05321] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05323] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05324] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05325] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05327] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05328] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05330] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05332] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05333] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05334] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05336] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05337] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05338] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05340] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05341] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05342] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05343] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05345] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05346] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05347] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05348] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05350] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05351] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05353] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05354] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05355] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05356] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05358] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05360] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05361] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05362] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05364] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05365] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05366] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05367] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05369] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05370] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05371] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05373] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05375] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05376] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05378] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05380] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05381] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.05385] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.05479] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.05483] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.07538] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.10093] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.10098] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.10102] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.10108] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.10112] Returning d3d_display: 00159FC8
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.10114] al_display=00159FC8
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.10116] al_display->vt=0006E5A8
system   D            wsystem.c:738  maybe_parent_dir                 [   0.10136] Also searching C:\Users\40161070\Documents\GitHub\Cps\coursework 2\code\NBody\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.10153] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:699  load_library_at_path             [   0.10156] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:702  load_library_at_path             [   0.10352] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.10356] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.10365] added dtor for bitmap 07A807C8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10424] added dtor for bitmap 07A9A458, func 0F9E2243
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10732] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10735] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10738] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10739] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10741] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10742] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10744] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10746] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10747] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.10748] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.10749] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.10750] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.10752] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.10804] added dtor for bitmap 07AB4298, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10825] added dtor for sub_bitmap 07B01FF8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10828] added dtor for sub_bitmap 07B02170, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10831] added dtor for sub_bitmap 07B022E8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10833] added dtor for sub_bitmap 07B02460, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10835] added dtor for sub_bitmap 07B025D8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10837] added dtor for sub_bitmap 07B02750, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10840] added dtor for sub_bitmap 07B028C8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10842] added dtor for sub_bitmap 07B02A40, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10844] added dtor for sub_bitmap 07B02BB8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10846] added dtor for sub_bitmap 07B02D30, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10849] added dtor for sub_bitmap 07B02EA8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10851] added dtor for sub_bitmap 07B03020, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10853] added dtor for sub_bitmap 07B03198, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10856] added dtor for sub_bitmap 07B03310, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10858] added dtor for sub_bitmap 07A801A0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10860] added dtor for sub_bitmap 07A7FEB0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10862] added dtor for sub_bitmap 07A7FBC0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10864] added dtor for sub_bitmap 07A80028, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10866] added dtor for sub_bitmap 07A7FD38, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10869] added dtor for sub_bitmap 07B03918, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10872] added dtor for sub_bitmap 07B04360, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10874] added dtor for sub_bitmap 07B04C30, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10876] added dtor for sub_bitmap 07B04DA8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10878] added dtor for sub_bitmap 07B03A90, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10880] added dtor for sub_bitmap 07B04F20, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10882] added dtor for sub_bitmap 07B03D80, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10885] added dtor for sub_bitmap 07B047C8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10887] added dtor for sub_bitmap 07B05098, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10890] added dtor for sub_bitmap 07B037A0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10893] added dtor for sub_bitmap 07B03628, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10896] added dtor for sub_bitmap 07B03C08, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10899] added dtor for sub_bitmap 07B034B0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10903] added dtor for sub_bitmap 07B044D8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10907] added dtor for sub_bitmap 07B05210, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10909] added dtor for sub_bitmap 07B03EF8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10911] added dtor for sub_bitmap 07B04650, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10914] added dtor for sub_bitmap 07B04070, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10916] added dtor for sub_bitmap 07B041E8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10918] added dtor for sub_bitmap 07B04940, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10920] added dtor for sub_bitmap 07B04AB8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10923] added dtor for sub_bitmap 07B06368, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10925] added dtor for sub_bitmap 07B06658, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10927] added dtor for sub_bitmap 07B064E0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10930] added dtor for sub_bitmap 07B06078, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10932] added dtor for sub_bitmap 07B054B8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10934] added dtor for sub_bitmap 07B06948, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10937] added dtor for sub_bitmap 07B05C10, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10939] added dtor for sub_bitmap 07B05920, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10941] added dtor for sub_bitmap 07B057A8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10943] added dtor for sub_bitmap 07B061F0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10945] added dtor for sub_bitmap 07B05630, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10948] added dtor for sub_bitmap 07B070A0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10950] added dtor for sub_bitmap 07B07218, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10952] added dtor for sub_bitmap 07B05F00, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10954] added dtor for sub_bitmap 07B06AC0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10956] added dtor for sub_bitmap 07B05A98, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10958] added dtor for sub_bitmap 07B05D88, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10960] added dtor for sub_bitmap 07B067D0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10962] added dtor for sub_bitmap 07B06DB0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10964] added dtor for sub_bitmap 07B06C38, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10967] added dtor for sub_bitmap 07B06F28, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10970] added dtor for sub_bitmap 07B0A090, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10972] added dtor for sub_bitmap 07B094D0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10974] added dtor for sub_bitmap 07B09AB0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10977] added dtor for sub_bitmap 07B0AAD8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10980] added dtor for sub_bitmap 07B0B0B8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10982] added dtor for sub_bitmap 07B0AC50, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10984] added dtor for sub_bitmap 07B0A380, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10986] added dtor for sub_bitmap 07B0ADC8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10989] added dtor for sub_bitmap 07B0A4F8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10991] added dtor for sub_bitmap 07B09C28, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10993] added dtor for sub_bitmap 07B0A670, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10995] added dtor for sub_bitmap 07B0B230, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10997] added dtor for sub_bitmap 07B0A7E8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.10999] added dtor for sub_bitmap 07B09648, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11002] added dtor for sub_bitmap 07B0AF40, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11004] added dtor for sub_bitmap 07B0A960, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11006] added dtor for sub_bitmap 07B0A208, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11009] added dtor for sub_bitmap 07B097C0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11011] added dtor for sub_bitmap 07B09938, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11013] added dtor for sub_bitmap 07B09DA0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11015] added dtor for sub_bitmap 07B09F18, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11018] added dtor for sub_bitmap 07B0C030, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11020] added dtor for sub_bitmap 07B0BEB8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11022] added dtor for sub_bitmap 07B0B8D8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11025] added dtor for sub_bitmap 07B0BA50, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11027] added dtor for sub_bitmap 07B0CA78, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11029] added dtor for sub_bitmap 07B0C900, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11031] added dtor for sub_bitmap 07B0C1A8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11033] added dtor for sub_bitmap 07B0D638, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11035] added dtor for sub_bitmap 07B0D348, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11037] added dtor for sub_bitmap 07B0D1D0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11039] added dtor for sub_bitmap 07B0BBC8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11041] added dtor for sub_bitmap 07B0BD40, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11043] added dtor for sub_bitmap 07B0CBF0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11045] added dtor for sub_bitmap 07B0C498, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11049] added dtor for sub_bitmap 07B0D058, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11051] added dtor for sub_bitmap 07B0C320, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11053] added dtor for sub_bitmap 07B0D4C0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11055] added dtor for sub_bitmap 07B0C610, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11057] added dtor for sub_bitmap 07B0C788, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11059] added dtor for sub_bitmap 07B0CD68, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11061] added dtor for sub_bitmap 07B0CEE0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11064] added dtor for sub_bitmap 07B0E648, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11066] added dtor for sub_bitmap 07B0E068, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11069] added dtor for sub_bitmap 07B0F4F8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11071] added dtor for sub_bitmap 07B0E358, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11073] added dtor for sub_bitmap 07B0EDA0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11075] added dtor for sub_bitmap 07B0F380, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11078] added dtor for sub_bitmap 07B0F7E8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11080] added dtor for sub_bitmap 07B0E4D0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11083] added dtor for sub_bitmap 07B0DC00, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11085] added dtor for sub_bitmap 07B0E7C0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11087] added dtor for sub_bitmap 07B0F208, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11089] added dtor for sub_bitmap 07B0E938, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11091] added dtor for sub_bitmap 07B0EAB0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11094] added dtor for sub_bitmap 07B0EF18, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11096] added dtor for sub_bitmap 07B0EC28, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11098] added dtor for sub_bitmap 07B0DA88, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11101] added dtor for sub_bitmap 07B0DD78, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11103] added dtor for sub_bitmap 07B0F090, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11105] added dtor for sub_bitmap 07B0F670, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11107] added dtor for sub_bitmap 07B0DEF0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11109] added dtor for sub_bitmap 07B0E1E0, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11112] added dtor for sub_bitmap 07B14220, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11114] added dtor for sub_bitmap 07B14688, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11116] added dtor for sub_bitmap 07B131F8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11119] added dtor for sub_bitmap 07B13370, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11121] added dtor for sub_bitmap 07B12D90, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11124] added dtor for sub_bitmap 07B12C18, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11126] added dtor for sub_bitmap 07B13660, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11128] added dtor for sub_bitmap 07B14800, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11130] added dtor for sub_bitmap 07B140A8, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11132] added dtor for sub_bitmap 07B14398, func 0F9E2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.11134] added dtor for sub_bitmap 07B12F08, func 0F9E2243
